asset,test,restricted_parameters,statistic,p_value,df,nobs,holm_p_value,family,significant_holm_5pct,shift_months,boundary_rule,verdict,scope,evidence_class,hypothesis,replication_status
portfolio_excess_return__investment_to_assets__decile_07,joint_regime_factor_interactions,10.0,53.01915612492641,7.385212258910045e-08,10.0,648.0,6.129726174895338e-06,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_07,joint_rate_beta_regime_interactions,5.0,33.66562296329961,2.7752329855329034e-06,5.0,648.0,0.00019981677495836905,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_08,joint_regime_factor_interactions,10.0,61.62342308465666,1.7842634146436777e-09,10.0,648.0,1.7307355122043674e-07,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_08,joint_rate_beta_regime_interactions,5.0,21.555399437535616,0.0006359197705693406,5.0,648.0,0.03116006875789769,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_09,joint_regime_factor_interactions,10.0,45.54935281178744,1.730551532374889e-06,10.0,648.0,0.00013152191646049156,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_09,joint_rate_beta_regime_interactions,5.0,14.11475821627251,0.014896656459969888,5.0,648.0,0.3873130679592171,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_10,joint_regime_factor_interactions,10.0,63.54330605224337,7.692182869030089e-10,10.0,648.0,7.615261040339787e-08,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_10,joint_rate_beta_regime_interactions,5.0,11.060291931235305,0.05019758997407708,5.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__long_term_reversal__decile_01,joint_regime_factor_interactions,10.0,236.18559070680308,4.329792666349984e-45,10.0,648.0,6.148305586216977e-43,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__long_term_reversal__decile_01,joint_rate_beta_regime_interactions,5.0,150.96664846392255,8.312859977068561e-31,5.0,648.0,1.15548753681253e-28,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__long_term_reversal__decile_02,joint_regime_factor_interactions,10.0,79.68539832862044,5.786202224798138e-13,10.0,648.0,6.654132558517858e-11,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
